"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.citybbq.com","https://order.citybbq.com/menu/decatur","Decatur","2511 Blackmon Dr","Decatur","GA","30033","US","<MISSING>","(404) 410-2566","<MISSING>","33.7948373","-84.287189","Sunday: 11am-9pm Monday: 11am-9pm Tuesday: 11am-9pm Wednesday: 11am-9pm Thursday: 11am-9pm Friday: 11am-10pm Saturday: 11am-10pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/johns-creek","Johns Creek","4210 Johns Creek Pkwy","Johns Creek","GA","30024","US","<MISSING>","(770) 284-3115","<MISSING>","34.0716637","-84.1672948","Sunday: 11am-9pm Monday: 11am-9pm Tuesday: 11am-9pm Wednesday: 11am-9pm Thursday: 11am-9pm Friday: 11am-10pm Saturday: 11am-10pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/sandy-springs","Sandy Springs","6649-L Roswell Rd NE","Sandy Springs","GA","30328","US","<MISSING>","(404) 902-6656","<MISSING>","33.9362874","-84.3780663","Sunday: 11am-9pm Monday: 11am-9pm Tuesday: 11am-9pm Wednesday: 11am-9pm Thursday: 11am-9pm Friday: 11am-10pm Saturday: 11am-10pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/deerfield","Deerfield","365 Lake Cook Rd.","Deerfield","IL","60015","US","<MISSING>","(847) 960-4129","<MISSING>","42.1524203","-87.8368247","Sunday: 11am-8pm Monday: 11am-8pm Tuesday: 11am-8pm Wednesday: 11am-8pm Thursday: 11am-8pm Friday: 11am-8pm Saturday: 11am-8pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/orland-park","Orland Park","14301 S. LaGrange Rd","Orland Park","IL","60462","US","<MISSING>","(708) 433-4448","<MISSING>","41.630166","-87.853397","Sunday: 11am-8pm Monday: 11am-8pm Tuesday: 11am-8pm Wednesday: 11am-8pm Thursday: 11am-8pm Friday: 11am-9pm Saturday: 11am-9pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/vernon-hills","Vernon Hills","887 N. Milwaukee Ave.","Vernon Hills","IL","60061","US","<MISSING>","(224) 424-1017","<MISSING>","42.2424252","-87.9443175","Sunday: 11am-8pm Monday: 11am-8pm Tuesday: 11am-8pm Wednesday: 11am-8pm Thursday: 11am-8pm Friday: 11am-8pm Saturday: 11am-8pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/downers-grove","Downers Grove","1034 W. Ogden Ave.","Downers Grove","IL","60515","US","<MISSING>","(630) 869-1313","<MISSING>","41.808991","-88.011758","Sunday: 11am-8pm Monday: 11am-8pm Tuesday: 11am-8pm Wednesday: 11am-8pm Thursday: 11am-8pm Friday: 11am-8pm Saturday: 11am-8pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/park-ridge","Park Ridge","123 N. Northwest Pkwy","Park Ridge","IL","60068","US","<MISSING>","(847) 993-8024","<MISSING>","42.0126183","-87.8313286","Sunday: 11am-8pm Monday: 11am-8pm Tuesday: 11am-8pm Wednesday: 11am-8pm Thursday: 11am-8pm Friday: 11am-8pm Saturday: 11am-8pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/carmel","Carmel","1356 S Rangeline Rd","Carmel","IN","46032","US","<MISSING>","(317) 660-8369","<MISSING>","39.9589718","-86.1277485","Sunday: 11am-8pm Monday: 11am-9pm Tuesday: 11am-9pm Wednesday: 11am-9pm Thursday: 11am-9pm Friday: 11am-10pm Saturday: 11am-10pm"
"https://www.citybbq.com","https://order.citybbq.com/menu/fishers","Fishers","9367 Ambleside Dr","Fishers","IN","46038","US","<MISSING>","(317) 348-3448","<MISSING>","39.9794504","-86.0015927","Sunday: 11am-8pm Monday: 11am-9pm Tuesday: 11am-9pm Wednesday: 11am-9pm Thursday: 11am-9pm Friday: 11am-10pm Saturday: 11am-10pm"
